2019/02/18 09:47:23.413 [I] [asm_amd64.s:1333]  http server Running on http://:8080
2019/02/18 09:47:25.526 [I] [asm_amd64.s:1333]  http server Running on http://:8080
2019/02/18 09:47:27.821 [I] [asm_amd64.s:1333]  http server Running on http://:8080
2019/02/18 09:47:37.536 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:410sSELECT * FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?)) ORDER BY updated_at DESC LIMIT 10 OFFSET 0[%%] 1
2019/02/18 09:47:37.536 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:450sSELECT count(*) FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?))[%%] 0
2019/02/18 09:47:37.627 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:410sSELECT * FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?)) ORDER BY updated_at DESC LIMIT 10 OFFSET 0[%%] 1
2019/02/18 09:47:37.627 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:450sSELECT count(*) FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?))[%%] 0
2019/02/18 09:53:14.736 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/user.go:180sSELECT * FROM "users"  WHERE "users"."deleted_at" IS NULL AND ((email = ? and pwd = ?)) LIMIT 1[532889507@qq.com 123456@x] 1
2019/02/18 09:53:15.059 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:411.0037msSELECT * FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?)) ORDER BY updated_at DESC LIMIT 10 OFFSET 0[%%] 1
2019/02/18 09:53:15.059 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:450sSELECT count(*) FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?))[%%] 0
2019/02/18 09:55:47.112 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:410sSELECT * FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?)) ORDER BY updated_at DESC LIMIT 10 OFFSET 0[%%] 1
2019/02/18 09:55:47.112 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:450sSELECT count(*) FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?))[%%] 0
2019/02/18 09:56:27.625 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:29999.8µsSELECT * FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((`key` = ? )) LIMIT 1[a16973c7-9737-4622-a478-9165d5dd9dd4] 1
2019/02/18 09:56:27.626 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/message.go:201.0012msSELECT * FROM "messages"  WHERE "messages"."deleted_at" IS NULL AND ((note_key = ? )) ORDER BY updated_at desc LIMIT 1[a16973c7-9737-4622-a478-9165d5dd9dd4] 1
2019/02/18 09:56:27.626 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/message.go:200sSELECT * FROM "users"  WHERE "users"."deleted_at" IS NULL AND (("id" IN (?)))[2] 1
2019/02/18 09:56:27.628 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:33999.4µsUPDATE "notes" SET "visit" = visit+1  WHERE "notes"."deleted_at" IS NULL AND ((`key` = ?))[a16973c7-9737-4622-a478-9165d5dd9dd4] 1
2019/02/18 10:03:25.980 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:414.008msSELECT * FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?)) ORDER BY updated_at DESC LIMIT 10 OFFSET 0[%%] 1
2019/02/18 10:03:25.981 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:450sSELECT count(*) FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?))[%%] 0
2019/02/18 10:03:36.630 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:410sSELECT * FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?)) ORDER BY updated_at DESC LIMIT 10 OFFSET 0[%%] 1
2019/02/18 10:03:36.630 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:450sSELECT count(*) FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?))[%%] 0
2019/02/18 10:07:13.295 [I] [asm_amd64.s:1333]  http server Running on http://:8080
2019/02/18 10:07:22.139 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:411.005msSELECT * FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?)) ORDER BY updated_at DESC LIMIT 10 OFFSET 0[%%] 1
2019/02/18 10:07:22.139 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:450sSELECT count(*) FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?))[%%] 0
2019/02/18 10:08:56.328 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:41999.9µsSELECT * FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?)) ORDER BY updated_at DESC LIMIT 10 OFFSET 0[%%] 1
2019/02/18 10:08:56.328 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:450sSELECT count(*) FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?))[%%] 0
